Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
CHROME ISLAND,BRITISH COLUMBIA,1021616,27289,,WOG,49.47,-124.68,492800000,-1244100000,11.3,1997,1998,1997.0,1998.0,1998.0,1998.0,,
COMOX A,BRITISH COLUMBIA,1021830,155,71893.0,YQQ,49.72,-124.9,494300000,-1245400000,25.6,1944,2024,1953.0,2024.0,1944.0,2024.0,1944.0,2017.0
ENTRANCE ISLAND,BRITISH COLUMBIA,1022689,29411,71772.0,WEL,49.21,-123.81,491231195,-1234838001,7.6,1992,2024,1994.0,2024.0,1992.0,2024.0,1992.0,2006.0
FANNY ISLAND,BRITISH COLUMBIA,1022795,29733,71568.0,XFA,50.45,-125.99,502712663,-1255934425,5.2,2000,2024,2000.0,2024.0,2000.0,2024.0,2000.0,2007.0
MT WASHINGTON,BRITISH COLUMBIA,1025230,46567,,VOJ,49.75,-125.29,494448100,-1251713900,1473.5,2007,2010,2007.0,2010.0,2007.0,2010.0,,
NANAIMO A,BRITISH COLUMBIA,1025365,52941,,YCD,49.05,-123.87,490316000,-1235212000,28.0,2014,2024,2014.0,2024.0,2018.0,2024.0,,
NANAIMO A,BRITISH COLUMBIA,1025369,51318,,YCD,49.05,-123.87,490316000,-1235212000,28.0,2013,2024,2013.0,2024.0,2016.0,2022.0,,
NANAIMO A,BRITISH COLUMBIA,1025370,192,,YCD,49.05,-123.87,490316000,-1235212000,28.04,1947,2016,1954.0,2013.0,1947.0,2016.0,1947.0,2007.0
NANOOSE BAY AUTO,BRITISH COLUMBIA,1025376,52058,,VNB,49.27,-124.15,491558030,-1240905070,5.0,2014,2015,2014.0,2015.0,,,,
PINE ISLAND,BRITISH COLUMBIA,1026170,200,,WPI,50.98,-127.73,505833010,-1274341040,28.0,1984,2024,1994.0,2001.0,1984.0,2024.0,1984.0,2007.0
PORT HARDY A,BRITISH COLUMBIA,1026270,202,71109.0,YZT,50.68,-127.37,504049000,-1272158000,21.6,1944,2013,1953.0,2013.0,1944.0,2013.0,1944.0,2013.0
PORT HARDY A,BRITISH COLUMBIA,1026271,51319,71109.0,YZT,50.68,-127.37,504050000,-1272200000,21.6,2013,2024,2013.0,2024.0,2013.0,2024.0,,
PORT HARDY AIRPORT,BRITISH COLUMBIA,1026273,54602,73014.0,VHD,50.68,-127.38,504104048,-1272237001,21.6,2023,2024,2023.0,2024.0,2023.0,2024.0,,
QUALICUM BEACH AIRPORT,BRITISH COLUMBIA,1026562,45627,71766.0,VOQ,49.34,-124.39,492014000,-1242338000,58.2,2006,2024,2006.0,2024.0,2006.0,2024.0,2006.0,2006.0
SISTERS ISLAND,BRITISH COLUMBIA,1027403,6813,71781.0,WGT,49.49,-124.43,492911800,-1242605800,20.0,1992,2024,1995.0,2024.0,1992.0,2024.0,1992.0,2004.0
AMPHITRITE POINT,BRITISH COLUMBIA,1030426,227,,WAN,48.92,-125.54,485516007,-1253228003,26.5,1980,2010,1980.0,2001.0,1980.0,2010.0,1980.0,1999.0
CAPE SCOTT,BRITISH COLUMBIA,1031353,237,,WES,50.78,-128.43,504656040,-1282538020,71.6,1965,2024,1966.0,2001.0,1965.0,2024.0,1965.0,2007.0
ESTEVAN POINT CS,BRITISH COLUMBIA,1032731,8040,71894.0,WEB,49.38,-126.54,492259914,-1263235193,5.8,1993,2024,1994.0,2024.0,1993.0,2024.0,1997.0,2007.0
HOLBERG CCR,BRITISH COLUMBIA,1033481,10998,71562.0,WXH,50.63,-128.12,503800000,-1280700000,568.0,1994,2010,1994.0,2001.0,2010.0,2010.0,,
NOOTKA LIGHTSTATION,BRITISH COLUMBIA,1035614,261,,WCV,49.6,-126.62,493600000,-1263700000,15.8,1978,2024,1994.0,2001.0,1978.0,2024.0,1978.0,2007.0
PORT ALBERNI A,BRITISH COLUMBIA,1036206,264,,,49.25,-124.83,491500000,-1245000000,2.4,1969,1996,1969.0,1995.0,1969.0,1996.0,1969.0,1996.0
QUATSINO LIGHTSTATION,BRITISH COLUMBIA,1036572,272,,WIF,50.44,-128.03,502628000,-1280157000,21.0,1978,2024,1994.0,2001.0,1978.0,2024.0,1978.0,2007.0
PORT ALBERNI (AUT),BRITISH COLUMBIA,1036B06,8045,71475.0,WQC,49.32,-124.93,491859700,-1245536600,76.2,1992,2024,1994.0,2024.0,1992.0,2024.0,2002.0,2007.0
SARTINE ISLAND (AUT),BRITISH COLUMBIA,1037090,8261,71478.0,WFG,50.82,-128.91,504916000,-1285429000,103.45,1994,2024,1994.0,2024.0,1994.0,2024.0,2005.0,2007.0
SOLANDER ISLAND (AUT),BRITISH COLUMBIA,1037553,8260,71479.0,WRU,50.11,-127.94,500641436,-1275623999,94.2,1994,2024,1994.0,2024.0,1994.0,2024.0,2007.0,2007.0
TOFINO A,BRITISH COLUMBIA,1038204,52198,,YAZ,49.08,-125.77,490456000,-1254621000,24.4,2014,2024,2014.0,2024.0,,,,
TOFINO A,BRITISH COLUMBIA,1038205,277,,YAZ,49.08,-125.77,490456000,-1254621020,24.45,1942,2023,1960.0,2014.0,1942.0,2023.0,1942.0,2007.0
TOFINO A,BRITISH COLUMBIA,1038210,52960,,YAZ,49.08,-125.77,490456000,-1254621000,24.4,2014,2024,2014.0,2024.0,2018.0,2024.0,,
NITINAT LAKE (AUT),BRITISH COLUMBIA,103EFJ0,10184,,WAC,48.67,-124.83,484000000,-1245000000,36.4,1992,2001,1994.0,2001.0,1992.0,2001.0,,
GRIEF POINT,BRITISH COLUMBIA,1043304,27449,,WKA,49.8,-124.53,494816600,-1243130800,10.0,1997,2024,1997.0,2024.0,2018.0,2024.0,,
MERRY ISLAND LIGHTSTATION,BRITISH COLUMBIA,1045100,320,,WMR,49.47,-123.91,492803030,-1235445040,7.2,1954,2024,1954.0,2001.0,1957.0,2024.0,1957.0,2007.0
MERRY ISLAND,BRITISH COLUMBIA,1045101,27288,71210.0,WMY,49.47,-123.92,492800000,-1235500000,20.0,1997,1998,1997.0,1998.0,1998.0,1998.0,,
HOWE SOUND - PAM ROCKS,BRITISH COLUMBIA,10459NN,6817,71211.0,WAS,49.49,-123.3,492916009,-1231758030,7.14,1991,2024,1994.0,2024.0,1991.0,2024.0,1991.0,2007.0
PORT MELLON,BRITISH COLUMBIA,1046332,45267,71605.0,VOM,49.53,-123.5,493134700,-1232946500,125.1,2006,2024,2006.0,2024.0,2006.0,2024.0,2006.0,2007.0
POWELL RIVER A,BRITISH COLUMBIA,1046391,327,,YPW,49.83,-124.5,495003010,-1243001000,129.51,1954,2024,1982.0,2013.0,1954.0,2024.0,1954.0,2007.0
POWELL RIVER,BRITISH COLUMBIA,1046392,45807,71720.0,VOP,49.83,-124.5,495004400,-1242948500,125.0,2007,2024,2007.0,2024.0,2007.0,2024.0,,
POWELL RIVER A,BRITISH COLUMBIA,1046395,51438,,YPW,49.83,-124.5,495003000,-1243001000,129.5,2013,2024,2013.0,2024.0,,,,
POWELL RIVER A,BRITISH COLUMBIA,1046396,52018,,YPW,49.83,-124.5,495003000,-1243001000,129.5,2013,2024,2013.0,2024.0,2018.0,2024.0,,
SECHELT AUT,BRITISH COLUMBIA,1047172,45788,71638.0,VOU,49.46,-123.72,492728788,-1234254945,86.2,2007,2024,2007.0,2024.0,2007.0,2024.0,,
SQUAMISH AIRPORT,BRITISH COLUMBIA,10476F0,336,71207.0,WSK,49.78,-123.16,494659550,-1230940300,53.7,1982,2024,1982.0,2024.0,1982.0,2024.0,1982.0,2007.0
SQUAMISH AIRPORT,BRITISH COLUMBIA,1047FF0,10816,,YSE,49.78,-123.16,494654000,-1230943000,52.1,2010,2010,2010.0,2010.0,2010.0,2010.0,,
TEXADA ISLAND A,BRITISH COLUMBIA,1048140,345,,,49.7,-124.52,494200000,-1243100000,96.9,1960,1993,,,1960.0,1993.0,1960.0,1993.0
WHISTLER,BRITISH COLUMBIA,1048898,348,,WAE,50.13,-122.95,500744001,-1225717400,657.8,1976,2024,1983.0,2014.0,1976.0,2024.0,1976.0,2007.0
WHISTLER A,BRITISH COLUMBIA,1048899,52178,,WAE,50.13,-122.95,500744000,-1225717000,657.8,2014,2024,2014.0,2024.0,,,,
CAPE ST JAMES,BRITISH COLUMBIA,1051351,10901,71107.0,WZV,51.94,-131.02,515609000,-1310057000,87.8,1992,2024,1993.0,2024.0,1992.0,2024.0,1994.0,2007.0
HOSKINS ISLET,BRITISH COLUMBIA,1053608,6818,,WZK,52.53,-131.55,523200000,-1313300000,8.0,1992,1995,1994.0,1995.0,1992.0,1995.0,1992.0,1994.0
KINDAKUN ROCKS (AUT),BRITISH COLUMBIA,1054222,8062,71472.0,WQS,53.32,-132.77,531856088,-1324619199,14.7,1994,2024,1994.0,2024.0,1994.0,2024.0,2005.0,2005.0
LANGARA,BRITISH COLUMBIA,1054500,358,71899.0,WLA,54.26,-133.06,541518648,-1330328799,42.69,1936,2024,1954.0,2001.0,1936.0,2024.0,1936.0,2007.0
LANGARA ISLAND RCS,BRITISH COLUMBIA,1054503,6819,71903.0,WJU,54.26,-133.06,541519397,-1330330557,46.9,1992,2024,1994.0,2024.0,1992.0,2024.0,1992.0,2007.0
MASSET AIRPORT,BRITISH COLUMBIA,1054920,360,,ZMT,54.02,-132.12,540121400,-1320702900,5.8,1897,2014,2005.0,2014.0,1897.0,2008.0,1897.0,2007.0
MASSET A,BRITISH COLUMBIA,1054921,52339,,ZMT,54.03,-132.13,540138000,-1320730000,5.8,2014,2024,2014.0,2024.0,,,,
MASSET A,BRITISH COLUMBIA,1054925,361,,,54.0,-132.17,540000000,-1321000000,12.8,1944,2016,,,1944.0,2016.0,1944.0,1949.0
MASSET A,BRITISH COLUMBIA,1054929,52940,,ZMT,54.03,-132.13,540138000,-1320730000,5.8,2014,2024,2014.0,2024.0,2018.0,2024.0,,
ROSE SPIT (AUT),BRITISH COLUMBIA,1056869,8064,71477.0,WRO,54.16,-131.66,540932904,-1313940773,6.6,1994,2024,1994.0,2024.0,1994.0,2024.0,2004.0,2005.0
SANDSPIT A,BRITISH COLUMBIA,1057050,367,,YZP,53.25,-131.81,531514000,-1314847000,6.4,1945,2017,1953.0,2005.0,1945.0,2017.0,1945.0,2007.0
SANDSPIT AIRPORT AUTO,BRITISH COLUMBIA,1057051,50108,71101.0,VZP,53.25,-131.81,531458002,-1314847257,6.5,2012,2024,2012.0,2024.0,2013.0,2024.0,,
SANDSPIT,BRITISH COLUMBIA,1057052,48648,71111.0,YZP,53.25,-131.81,531515000,-1314850000,6.4,2010,2024,2010.0,2024.0,2010.0,2024.0,,
SANDSPIT AWOS,BRITISH COLUMBIA,1057055,30955,,CZP,53.25,-131.81,531515000,-1314850000,6.4,1999,2013,1999.0,2013.0,2002.0,2013.0,2005.0,2006.0
SCUDDER POINT,BRITISH COLUMBIA,1057133,6821,,WZD,52.45,-131.23,522700000,-1311400000,5.0,1992,2009,1994.0,1997.0,1992.0,2009.0,1992.0,1996.0
ADDENBROKE ISLAND,BRITISH COLUMBIA,1060080,374,,WCZ,51.6,-127.86,513612700,-1275149900,21.3,1978,2024,1994.0,2001.0,1978.0,2024.0,1978.0,2007.0
BELLA BELLA A,BRITISH COLUMBIA,1060811,44766,,,52.19,-128.16,521106000,-1280924000,43.0,2006,2011,2007.0,2011.0,2006.0,2011.0,2006.0,2007.0
BELLA BELLA,BRITISH COLUMBIA,1060815,49388,71582.0,BBC,52.19,-128.16,521106000,-1280924000,43.0,2011,2024,2011.0,2024.0,2011.0,2024.0,,
BELLA COOLA A,BRITISH COLUMBIA,1060841,381,71206.0,YBD,52.39,-126.6,522315000,-1263545000,35.7,1983,2017,1983.0,2013.0,1983.0,2017.0,1983.0,2007.0
BELLA COOLA AIRPORT,BRITISH COLUMBIA,1060844,54338,71533.0,VBD,52.39,-126.59,522319000,-1263513000,36.89,2015,2024,2015.0,2024.0,2015.0,2024.0,,
BELLA COOLA A,BRITISH COLUMBIA,1060845,51419,,YBD,52.39,-126.6,522315000,-1263545000,35.7,2013,2024,2013.0,2024.0,,,,
BELLA COOLA A,BRITISH COLUMBIA,1060848,52978,,YBD,52.39,-126.6,522315000,-1263545000,35.7,2014,2024,2014.0,2024.0,2018.0,2024.0,,
BOAT BLUFF,BRITISH COLUMBIA,1060901,383,,WZM,52.64,-128.52,523835050,-1283126070,10.7,1974,2024,1994.0,2001.0,1974.0,2024.0,1974.0,2007.0
BONILLA ISLAND,BRITISH COLUMBIA,1060902,384,,WVB,53.49,-130.64,532933900,-1303815700,16.2,1960,2024,1994.0,2001.0,1960.0,2024.0,1960.0,2007.0
BONILLA ISLAND (AUT),BRITISH COLUMBIA,1060R0K,8265,71484.0,WWL,53.49,-130.64,532934259,-1303820400,12.52,1994,2024,1994.0,2024.0,1994.0,2024.0,2002.0,2007.0
CATHEDRAL POINT (AUT),BRITISH COLUMBIA,1061458,8264,71482.0,WME,52.19,-127.47,521114830,-1272816180,26.4,1994,2024,1994.0,2024.0,1994.0,2024.0,2002.0,2007.0
CUMSHEWA ISLAND,BRITISH COLUMBIA,1062251,6822,71771.0,WZL,53.03,-131.6,530149476,-1313605599,12.57,1992,2024,1994.0,2024.0,1992.0,2024.0,1993.0,2007.0
DRYAD POINT,BRITISH COLUMBIA,1062544,387,,WAU,52.19,-128.11,521106002,-1280644008,3.5,1977,2024,1994.0,2001.0,1977.0,2024.0,1977.0,2007.0
EGG ISLAND,BRITISH COLUMBIA,1062646,389,,WEM,51.25,-127.84,511450000,-1275007300,14.0,1965,2024,1969.0,2001.0,1965.0,2024.0,1965.0,2007.0
GREEN ISLAND,BRITISH COLUMBIA,1063298,393,,WNJ,54.57,-130.71,543407020,-1304229020,11.9,1970,2024,1970.0,2001.0,1978.0,2024.0,1978.0,2007.0
GREY ISLET (AUT),BRITISH COLUMBIA,1063303,8258,71476.0,WEK,54.58,-130.7,543449152,-1304152080,9.5,1994,2024,1994.0,2024.0,1994.0,2024.0,2005.0,2007.0
HERBERT ISLAND (AUT),BRITISH COLUMBIA,1063461,8259,71485.0,WLP,50.94,-127.63,505623140,-1273755380,13.5,1994,2024,1994.0,2024.0,1994.0,2024.0,2005.0,2007.0
HOLLAND ROCK,BRITISH COLUMBIA,1063496,6823,71219.0,WHL,54.17,-130.36,541020042,-1302139060,5.5,1991,2024,1994.0,2024.0,1991.0,2024.0,1991.0,1997.0
IVORY ISLAND,BRITISH COLUMBIA,1063690,395,,WJG,52.27,-128.41,521611040,-1282424030,9.8,1948,2024,1994.0,2001.0,1948.0,2024.0,1948.0,2007.0
KITIMAT,BRITISH COLUMBIA,1064288,399,,WKI,54.05,-128.68,540300000,-1284100000,12.8,1979,1994,1994.0,1994.0,1979.0,1994.0,1979.0,1994.0
KITIMAT FOREST AVE,BRITISH COLUMBIA,1064324,54978,73007.0,VKC,54.05,-128.63,540313025,-1283801087,98.0,2020,2024,2020.0,2024.0,2020.0,2024.0,,
LUCY ISLAND LIGHTSTATION,BRITISH COLUMBIA,1064728,6824,71220.0,WLC,54.3,-130.61,541745312,-1303632400,2.0,1991,2024,1994.0,2024.0,1991.0,2024.0,1991.0,2000.0
MCINNES ISLAND,BRITISH COLUMBIA,1065010,409,71897.0,WMS,52.26,-128.72,521542000,-1284310000,25.9,1954,2024,1955.0,2001.0,1954.0,2024.0,1954.0,2007.0
PRINCE RUPERT A,BRITISH COLUMBIA,1066481,422,,,54.29,-130.44,541733000,-1302641000,35.4,1961,2006,1961.0,2005.0,1962.0,2006.0,1962.0,2006.0
PRINCE RUPERT,BRITISH COLUMBIA,1066482,48693,71022.0,YPR,54.29,-130.44,541710000,-1302641000,35.4,2010,2024,2010.0,2024.0,2010.0,2024.0,,
PRINCE RUPERT AWOS,BRITISH COLUMBIA,1066483,27991,71898.0,VPT,54.29,-130.44,541710000,-1302641000,35.4,2004,2012,2004.0,2012.0,2005.0,2012.0,2005.0,2007.0
STEWART A,BRITISH COLUMBIA,1067741,53422,,ZST,55.93,-129.98,555600000,-1295900000,7.3,2015,2024,2015.0,2024.0,,,,
STEWART A,BRITISH COLUMBIA,1067742,434,,ZST,55.94,-129.99,555610000,-1295906000,7.3,1974,2016,1974.0,2015.0,1974.0,2016.0,1975.0,2007.0
STEWART A,BRITISH COLUMBIA,1067748,53438,,ZST,55.93,-129.98,555600000,-1295900000,7.3,2015,2024,2015.0,2024.0,2018.0,2024.0,,
TERRACE A,BRITISH COLUMBIA,1068130,441,71951.0,YXT,54.47,-128.58,542759000,-1283439000,217.3,1953,2013,1955.0,2013.0,1953.0,2013.0,1953.0,2013.0
TERRACE SKEENA BRIDGE CS,BRITISH COLUMBIA,1068133,10750,,WSX,54.52,-128.57,543100000,-1283400000,210.0,1999,2002,1999.0,2002.0,,,,
TERRACE A,BRITISH COLUMBIA,1068134,51037,71951.0,YXT,54.47,-128.58,542807000,-1283442000,217.3,2013,2024,2013.0,2024.0,2013.0,2024.0,,
TRIPLE ISLAND,BRITISH COLUMBIA,1068250,446,,WTI,54.29,-130.88,541740800,-1305249100,20.7,1953,2024,1953.0,2001.0,1989.0,2024.0,1989.0,2007.0
HELMCKEN ISLAND,BRITISH COLUMBIA,106CDL0,9818,,WXM,50.4,-125.87,502400000,-1255200000,18.9,1994,2000,1994.0,2000.0,1994.0,2000.0,,
NANAKWA SHOALS,BRITISH COLUMBIA,106NLPJ,9817,46181.0,WCB,53.83,-128.83,535000000,-1284954000,,1986,1986,1986.0,1986.0,,,,
SMITHERS A,BRITISH COLUMBIA,1077498,50130,,YYD,54.83,-127.18,544931000,-1271058000,523.0,2012,2024,2012.0,2024.0,,,,
SMITHERS,BRITISH COLUMBIA,1077499,48628,71950.0,YYD,54.83,-127.18,544931000,-1271058000,523.0,2010,2024,2010.0,2024.0,2010.0,2024.0,,
SMITHERS A,BRITISH COLUMBIA,1077500,487,,YYD,54.82,-127.18,544929000,-1271058000,521.8,1942,2018,1953.0,2012.0,1942.0,2018.0,1942.0,2010.0
SMITHERS AIRPORT AUTO,BRITISH COLUMBIA,1077501,51658,71268.0,VYD,54.82,-127.19,544927000,-1271122000,517.6,2013,2024,2013.0,2024.0,2013.0,2024.0,,
BIG CREEK (AUT),BRITISH COLUMBIA,10808G0,10811,71760.0,WBG,51.26,-123.09,511537000,-1230533000,1670.0,1994,2011,1994.0,2003.0,1995.0,2011.0,,
NECHAKO RIVER (AUT),BRITISH COLUMBIA,1085415,10709,71763.0,WNX,53.68,-124.83,534100000,-1245000000,715.0,1994,2002,1994.0,2002.0,1995.0,2002.0,,
OOTSA LAKESKINS LAKE CLIMATE,BRITISH COLUMBIA,1085836,43963,71679.0,VSL,53.77,-126.0,534618800,-1255948190,861.0,2005,2024,2005.0,2024.0,2005.0,2024.0,2006.0,2007.0
PEMBERTON AIRPORT (WIND),BRITISH COLUMBIA,1086081,46747,,WPN,50.3,-122.74,501808000,-1224417000,203.0,2007,2024,2007.0,2024.0,2018.0,2024.0,,
PEMBERTON AIRPORT CS,BRITISH COLUMBIA,1086082,536,71777.0,WGP,50.31,-122.73,501820326,-1224402720,204.31,1984,2024,1988.0,2024.0,1984.0,2024.0,1984.0,2006.0
PEMBERTON AIRPORT CWS,BRITISH COLUMBIA,1086085,48308,,YPS,50.3,-122.74,501809000,-1224416000,204.3,2010,2010,2010.0,2010.0,2010.0,2010.0,,
PUNTZI MOUNTAIN (AUT),BRITISH COLUMBIA,1086558,8092,71050.0,WPU,52.11,-124.14,520652000,-1240808000,909.8,1993,2024,1994.0,2024.0,1993.0,2024.0,2005.0,2006.0
TATLAYOKO LAKE RCS,BRITISH COLUMBIA,1088015,30494,71028.0,XTL,51.67,-124.4,514028400,-1242411300,875.0,2000,2024,2000.0,2024.0,2000.0,2024.0,2004.0,2007.0
BURNS LAKE DECKER LAKE,BRITISH COLUMBIA,1091174,574,71952.0,WPZ,54.38,-125.96,542259400,-1255731200,713.2,1990,2024,1990.0,2024.0,1990.0,2024.0,1990.0,2006.0
DOG CREEK A,BRITISH COLUMBIA,1092490,579,,,51.63,-122.25,513800000,-1221500000,1027.2,1944,1960,,,1944.0,1960.0,1944.0,1960.0
FORT ST JAMES A,BRITISH COLUMBIA,1092972,589,,,54.42,-124.25,542500000,-1241500000,716.3,1979,1991,1979.0,1991.0,1979.0,1991.0,1979.0,1991.0
FORT ST JAMES AUTO,BRITISH COLUMBIA,1092975,51538,71933.0,VFS,54.46,-124.29,542719057,-1241708006,688.0,2013,2024,2013.0,2024.0,2013.0,2024.0,,
FORT ST JAMES GOLF CLUB,BRITISH COLUMBIA,1092977,55363,73047.0,VFJ,54.46,-124.29,542734038,-1241733007,712.0,2022,2024,2022.0,2024.0,2022.0,2024.0,,
PRINCE GEORGE,BRITISH COLUMBIA,1096439,48370,71896.0,YXS,53.88,-122.68,535303000,-1224039000,691.0,2009,2024,2009.0,2024.0,2009.0,2024.0,,
PRINCE GEORGE A,BRITISH COLUMBIA,1096450,631,71896.0,YXS,53.89,-122.68,535327000,-1224044000,691.3,1942,2009,1953.0,2009.0,1942.0,2009.0,1942.0,2009.0
PRINCE GEORGE AIRPORT AUTO,BRITISH COLUMBIA,1096453,48248,71302.0,VXS,53.89,-122.67,535320000,-1224019002,680.0,2009,2024,2009.0,2024.0,2009.0,2024.0,,
PRINCE GEORGE MASSEY AUTO,BRITISH COLUMBIA,1096454,50169,,VPX,53.9,-122.79,535359009,-1224727001,601.0,2012,2024,2012.0,2024.0,2018.0,2024.0,,
QUESNEL AUT,BRITISH COLUMBIA,1096601,639,,WQZ,53.03,-122.52,530200000,-1223100000,545.3,1990,1994,1994.0,1994.0,1990.0,1994.0,1990.0,1994.0
QUESNEL AWOS,BRITISH COLUMBIA,1096625,30967,71103.0,CQZ,53.03,-122.51,530134000,-1223036000,545.0,2005,2011,2005.0,2011.0,2005.0,2010.0,2005.0,2007.0
QUESNEL,BRITISH COLUMBIA,1096629,48688,71192.0,YQZ,53.03,-122.51,530134000,-1223037000,545.0,2010,2024,2010.0,2024.0,2010.0,2024.0,,
QUESNEL A,BRITISH COLUMBIA,1096630,640,,,53.03,-122.51,530134000,-1223036000,545.0,1946,2007,1953.0,2006.0,1946.0,2007.0,1946.0,2007.0
QUESNEL AIRPORT AUTO,BRITISH COLUMBIA,1096631,48108,71779.0,VQZ,53.03,-122.51,530136008,-1223023007,545.3,2009,2024,2009.0,2024.0,2009.0,2024.0,,
