Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year,Span
LANGARA,BRITISH COLUMBIA,1054500,358,71899.0,WLA,54.26,-133.06,541518648,-1330328799,42.69,1936,2024,1954.0,2001.0,1936.0,2024.0,1936.0,2007.0,48.0
LANGARA ISLAND RCS,BRITISH COLUMBIA,1054503,6819,71903.0,WJU,54.26,-133.06,541519397,-1330330557,46.9,1992,2024,1994.0,2024.0,1992.0,2024.0,1992.0,2007.0,31.0
ROSE SPIT (AUT),BRITISH COLUMBIA,1056869,8064,71477.0,WRO,54.16,-131.66,540932904,-1313940773,6.6,1994,2024,1994.0,2024.0,1994.0,2024.0,2004.0,2005.0,31.0
SANDSPIT A,BRITISH COLUMBIA,1057050,367,,YZP,53.25,-131.81,531514000,-1314847000,6.4,1945,2017,1953.0,2005.0,1945.0,2017.0,1945.0,2007.0,53.0
BELLA COOLA A,BRITISH COLUMBIA,1060841,381,71206.0,YBD,52.39,-126.6,522315000,-1263545000,35.7,1983,2017,1983.0,2013.0,1983.0,2017.0,1983.0,2007.0,31.0
BONILLA ISLAND (AUT),BRITISH COLUMBIA,1060R0K,8265,71484.0,WWL,53.49,-130.64,532934259,-1303820400,12.52,1994,2024,1994.0,2024.0,1994.0,2024.0,2002.0,2007.0,31.0
CATHEDRAL POINT (AUT),BRITISH COLUMBIA,1061458,8264,71482.0,WME,52.19,-127.47,521114830,-1272816180,26.4,1994,2024,1994.0,2024.0,1994.0,2024.0,2002.0,2007.0,31.0
CUMSHEWA ISLAND,BRITISH COLUMBIA,1062251,6822,71771.0,WZL,53.03,-131.6,530149476,-1313605599,12.57,1992,2024,1994.0,2024.0,1992.0,2024.0,1993.0,2007.0,31.0
EGG ISLAND,BRITISH COLUMBIA,1062646,389,,WEM,51.25,-127.84,511450000,-1275007300,14.0,1965,2024,1969.0,2001.0,1965.0,2024.0,1965.0,2007.0,33.0
GREEN ISLAND,BRITISH COLUMBIA,1063298,393,,WNJ,54.57,-130.71,543407020,-1304229020,11.9,1970,2024,1970.0,2001.0,1978.0,2024.0,1978.0,2007.0,32.0
GREY ISLET (AUT),BRITISH COLUMBIA,1063303,8258,71476.0,WEK,54.58,-130.7,543449152,-1304152080,9.5,1994,2024,1994.0,2024.0,1994.0,2024.0,2005.0,2007.0,31.0
HERBERT ISLAND (AUT),BRITISH COLUMBIA,1063461,8259,71485.0,WLP,50.94,-127.63,505623140,-1273755380,13.5,1994,2024,1994.0,2024.0,1994.0,2024.0,2005.0,2007.0,31.0
HOLLAND ROCK,BRITISH COLUMBIA,1063496,6823,71219.0,WHL,54.17,-130.36,541020042,-1302139060,5.5,1991,2024,1994.0,2024.0,1991.0,2024.0,1991.0,1997.0,31.0
LUCY ISLAND LIGHTSTATION,BRITISH COLUMBIA,1064728,6824,71220.0,WLC,54.3,-130.61,541745312,-1303632400,2.0,1991,2024,1994.0,2024.0,1991.0,2024.0,1991.0,2000.0,31.0
MCINNES ISLAND,BRITISH COLUMBIA,1065010,409,71897.0,WMS,52.26,-128.72,521542000,-1284310000,25.9,1954,2024,1955.0,2001.0,1954.0,2024.0,1954.0,2007.0,47.0
PRINCE RUPERT A,BRITISH COLUMBIA,1066481,422,,,54.29,-130.44,541733000,-1302641000,35.4,1961,2006,1961.0,2005.0,1962.0,2006.0,1962.0,2006.0,45.0
STEWART A,BRITISH COLUMBIA,1067742,434,,ZST,55.94,-129.99,555610000,-1295906000,7.3,1974,2016,1974.0,2015.0,1974.0,2016.0,1975.0,2007.0,42.0
TERRACE A,BRITISH COLUMBIA,1068130,441,71951.0,YXT,54.47,-128.58,542759000,-1283439000,217.3,1953,2013,1955.0,2013.0,1953.0,2013.0,1953.0,2013.0,59.0
TRIPLE ISLAND,BRITISH COLUMBIA,1068250,446,,WTI,54.29,-130.88,541740800,-1305249100,20.7,1953,2024,1953.0,2001.0,1989.0,2024.0,1989.0,2007.0,49.0
SMITHERS A,BRITISH COLUMBIA,1077500,487,,YYD,54.82,-127.18,544929000,-1271058000,521.8,1942,2018,1953.0,2012.0,1942.0,2018.0,1942.0,2010.0,60.0
PEMBERTON AIRPORT CS,BRITISH COLUMBIA,1086082,536,71777.0,WGP,50.31,-122.73,501820326,-1224402720,204.31,1984,2024,1988.0,2024.0,1984.0,2024.0,1984.0,2006.0,37.0
PUNTZI MOUNTAIN (AUT),BRITISH COLUMBIA,1086558,8092,71050.0,WPU,52.11,-124.14,520652000,-1240808000,909.8,1993,2024,1994.0,2024.0,1993.0,2024.0,2005.0,2006.0,31.0
BURNS LAKE DECKER LAKE,BRITISH COLUMBIA,1091174,574,71952.0,WPZ,54.38,-125.96,542259400,-1255731200,713.2,1990,2024,1990.0,2024.0,1990.0,2024.0,1990.0,2006.0,35.0
PRINCE GEORGE A,BRITISH COLUMBIA,1096450,631,71896.0,YXS,53.89,-122.68,535327000,-1224044000,691.3,1942,2009,1953.0,2009.0,1942.0,2009.0,1942.0,2009.0,57.0
QUESNEL A,BRITISH COLUMBIA,1096630,640,,,53.03,-122.51,530134000,-1223036000,545.0,1946,2007,1953.0,2006.0,1946.0,2007.0,1946.0,2007.0,54.0
WILLIAMS LAKE A,BRITISH COLUMBIA,1098940,664,71104.0,YWL,52.18,-122.05,521059000,-1220315000,939.7,1960,2012,1961.0,2012.0,1960.0,2012.0,1961.0,2012.0,52.0
ABBOTSFORD A,BRITISH COLUMBIA,1100030,702,71108.0,YXX,49.03,-122.36,490131000,-1222136000,59.13,1944,2012,1953.0,2012.0,1944.0,2012.0,1944.0,2012.0,60.0
AGASSIZ RCS,BRITISH COLUMBIA,1100119,706,71113.0,WZA,49.24,-121.76,491435000,-1214537000,19.3,1988,2024,1994.0,2024.0,1988.0,2024.0,1988.0,2006.0,31.0
PITT MEADOWS CS,BRITISH COLUMBIA,1106178,6830,71775.0,WMM,49.21,-122.69,491229964,-1224124076,5.0,1993,2024,1994.0,2024.0,1993.0,2024.0,1993.0,2007.0,31.0
SANDHEADS CS,BRITISH COLUMBIA,1107010,6831,71209.0,WVF,49.11,-123.3,490621225,-1231812123,11.0,1991,2024,1994.0,2024.0,1991.0,2024.0,1991.0,1999.0,31.0
VANCOUVER HARBOUR CS,BRITISH COLUMBIA,1108446,888,71201.0,WHC,49.3,-123.12,491743270,-1230718730,2.5,1925,2024,1976.0,2024.0,1925.0,2024.0,1925.0,2007.0,49.0
VANCOUVER INT'L A,BRITISH COLUMBIA,1108447,889,,YVR,49.2,-123.18,491142000,-1231055000,4.3,1937,2013,1953.0,2013.0,1937.0,2013.0,1937.0,2013.0,61.0
WEST VANCOUVER AUT,BRITISH COLUMBIA,1108824,6833,71784.0,WWA,49.35,-123.19,492049350,-1231135910,170.21,1992,2024,1994.0,2024.0,1992.0,2024.0,1992.0,2007.0,31.0
WHITE ROCK CAMPBELL SCIENTIFIC,BRITISH COLUMBIA,1108910,925,71785.0,WWK,49.02,-122.78,490105000,-1224702000,13.0,1929,2024,1994.0,2024.0,1929.0,2024.0,1929.0,2007.0,31.0
HOPE A,BRITISH COLUMBIA,1113540,946,,,49.37,-121.5,492206000,-1212953000,39.0,1934,1995,1953.0,1995.0,1934.0,1995.0,1934.0,1995.0,43.0
HOPE SLIDE,BRITISH COLUMBIA,1113581,951,,WKV,49.27,-121.23,491600000,-1211400000,685.0,1969,2024,1969.0,2014.0,1975.0,2024.0,1975.0,2007.0,46.0
KELOWNA A,BRITISH COLUMBIA,1123970,1001,71203.0,YLW,49.96,-119.38,495722000,-1192240000,429.5,1959,2005,1959.0,2005.0,1968.0,2005.0,1968.0,2005.0,47.0
OSOYOOS CS,BRITISH COLUMBIA,1125852,1041,71215.0,WYY,49.03,-119.44,490141850,-1192627570,282.9,1990,2024,1994.0,2024.0,1990.0,2024.0,1990.0,2006.0,31.0
PENTICTON A,BRITISH COLUMBIA,1126150,1053,71889.0,YYF,49.46,-119.6,492747000,-1193608000,344.42,1941,2012,1953.0,2012.0,1941.0,2012.0,1941.0,2012.0,60.0
PRINCETON A,BRITISH COLUMBIA,1126510,1056,,YDC,49.47,-120.51,492804000,-1203045000,701.65,1936,2024,1953.0,2013.0,1936.0,2024.0,1937.0,2007.0,61.0
PRINCETON CS,BRITISH COLUMBIA,112FN0M,6834,71032.0,WPR,49.47,-120.51,492754000,-1203036000,696.5,1992,2024,1994.0,2024.0,1992.0,2024.0,1993.0,2006.0,31.0
SUMMERLAND CS,BRITISH COLUMBIA,112G8L1,979,71768.0,WUS,49.56,-119.65,493345200,-1193855300,454.2,1990,2024,1994.0,2024.0,1990.0,2024.0,1990.0,2006.0,31.0
CASTLEGAR A,BRITISH COLUMBIA,1141455,1105,,YCG,49.3,-117.63,491747000,-1173757000,495.6,1954,2024,1954.0,2013.0,1965.0,2024.0,1966.0,2007.0,60.0
NAKUSP CS,BRITISH COLUMBIA,1145297,6840,71216.0,WNP,50.27,-117.82,501609930,-1174901540,512.1,1991,2024,1994.0,2024.0,1991.0,2024.0,1991.0,2006.0,31.0
NELSON CS,BRITISH COLUMBIA,1145M29,6839,71776.0,WNM,49.49,-117.31,492929000,-1171819000,534.9,1992,2024,1994.0,2024.0,1992.0,2024.0,1992.0,2006.0,31.0
CRESTON CAMPBELL SCIENTIFIC,BRITISH COLUMBIA,114B1F0,6838,71770.0,WJR,49.08,-116.5,490454082,-1163002449,640.7,1993,2024,1994.0,2024.0,1993.0,2024.0,1993.0,2006.0,31.0
CRANBROOK A,BRITISH COLUMBIA,1152102,1174,71880.0,YXC,49.61,-115.78,493644000,-1154655000,940.0,1968,2012,1968.0,2012.0,1968.0,2012.0,1968.0,2012.0,45.0
SPARWOOD CS,BRITISH COLUMBIA,1157631,6842,71782.0,WGW,49.75,-114.88,494442000,-1145302040,1136.7,1992,2024,1994.0,2024.0,1992.0,2024.0,1993.0,2006.0,31.0
BLUE RIVER A,BRITISH COLUMBIA,1160899,1237,,YCP,52.13,-119.29,520744500,-1191722300,690.4,1969,2024,1969.0,2015.0,1969.0,2024.0,1969.0,2007.0,47.0
BLUE RIVER CS,BRITISH COLUMBIA,1160H99,8214,71883.0,WSV,52.13,-119.29,520744400,-1191723700,682.8,1992,2024,1993.0,2024.0,1992.0,2024.0,1997.0,2006.0,32.0
KAMLOOPS A,BRITISH COLUMBIA,1163780,1275,71887.0,YKA,50.7,-120.44,504208000,-1202631000,345.3,1951,2013,1953.0,2013.0,1951.0,2013.0,1951.0,2013.0,61.0
SALMON ARM CS,BRITISH COLUMBIA,116FRMN,6843,71218.0,WSL,50.7,-119.29,504210800,-1191726440,350.5,1991,2024,1994.0,2024.0,1991.0,2024.0,1991.0,2006.0,31.0
REVELSTOKE AIRPORT RD,BRITISH COLUMBIA,1176751,1372,,,50.95,-118.17,505712000,-1180959000,450.0,1969,1999,1969.0,1999.0,1969.0,1999.0,1969.0,1999.0,31.0
YOHO PARK,BRITISH COLUMBIA,11790J1,6844,71786.0,WYL,51.44,-116.34,512634400,-1162040400,1602.0,1992,2024,1994.0,2024.0,1992.0,2024.0,1993.0,2006.0,31.0
CHETWYND A,BRITISH COLUMBIA,1181508,1400,,YCQ,55.69,-121.63,554114000,-1213736000,609.6,1982,2024,1982.0,2014.0,1982.0,2024.0,1982.0,2007.0,33.0
DAWSON CREEK A,BRITISH COLUMBIA,1182285,1404,71471.0,YDQ,55.74,-120.18,554430000,-1201055000,654.7,1964,2009,1964.0,2009.0,1968.0,2009.0,1968.0,2006.0,46.0
FORT ST JOHN A,BRITISH COLUMBIA,1183000,1413,71943.0,YXJ,56.24,-120.74,561417000,-1204425000,694.9,1942,2012,1953.0,2012.0,1942.0,2012.0,1942.0,2012.0,60.0
MACKENZIE A,BRITISH COLUMBIA,1184790,1423,,VMK,55.31,-123.14,551819000,-1230817000,690.1,1971,2015,1971.0,2015.0,1971.0,2013.0,1971.0,2007.0,45.0
DEASE LAKE,BRITISH COLUMBIA,1192340,1454,71958.0,WDL,58.43,-130.01,582542006,-1300038004,806.6,1944,2012,1953.0,2012.0,1944.0,2011.0,1944.0,2007.0,60.0
FORT NELSON A,BRITISH COLUMBIA,1192940,1455,71945.0,YYE,58.84,-122.6,585011000,-1223550000,381.9,1937,2012,1953.0,2012.0,1937.0,2012.0,1937.0,2012.0,60.0
DEASE LAKE (AUT),BRITISH COLUMBIA,119BLM0,6845,71222.0,WKX,58.43,-130.03,582533959,-1300130000,800.67,1993,2024,1994.0,2024.0,1993.0,2024.0,1993.0,2007.0,31.0
BEAVER CREEK A,YUKON TERRITORY,2100160,1518,,YXQ,62.41,-140.87,622437000,-1405203000,649.0,1968,2015,1968.0,2014.0,1968.0,2015.0,1968.0,2006.0,47.0
BURWASH A,YUKON TERRITORY,2100182,1525,,YDB,61.37,-139.05,612200000,-1390300000,806.2,1966,2015,1966.0,2012.0,1966.0,2015.0,1966.0,2007.0,47.0
DAWSON A,YUKON TERRITORY,2100402,1535,,YDA,64.04,-139.13,640235000,-1390740000,370.33,1976,2015,1976.0,2013.0,1976.0,2015.0,1976.0,2007.0,38.0
FARO (AUT),YUKON TERRITORY,2100518,8964,71949.0,WUM,62.21,-133.38,621227000,-1332233000,716.6,1992,2024,1994.0,2024.0,1992.0,2024.0,2002.0,2007.0,31.0
HAINES JUNCTION,YUKON TERRITORY,2100630,1556,71505.0,WHT,60.77,-137.58,604621008,-1373449004,595.3,1944,2024,1960.0,2024.0,1944.0,2024.0,1944.0,2006.0,65.0
HERSCHEL ISLAND,YUKON TERRITORY,2100636,1560,71501.0,WJN,69.57,-138.91,693405500,-1385448200,1.2,1974,2024,1994.0,2024.0,1974.0,2024.0,1974.0,2007.0,31.0
IVVAVIK NAT. PARK,YUKON TERRITORY,2100660,26869,71978.0,WOI,69.16,-140.15,690952000,-1400900000,243.8,1995,2024,1995.0,2024.0,1995.0,2024.0,2004.0,2006.0,30.0
KOMAKUK BEACH,YUKON TERRITORY,2100682,10822,71046.0,WKM,69.61,-140.2,693643000,-1401149000,13.2,1994,2024,1994.0,2024.0,1994.0,2024.0,,,31.0
MAYO A,YUKON TERRITORY,2100700,1572,71965.0,YMA,63.62,-135.87,633700000,-1355200000,503.8,1924,2013,1953.0,2013.0,1924.0,2013.0,1925.0,2013.0,61.0
OLD CROW A,YUKON TERRITORY,2100800,1582,,YOC,67.57,-139.84,673414000,-1395021000,250.24,1951,2015,1975.0,2013.0,1951.0,2015.0,1951.0,2007.0,39.0
OLD CROW RCS,YUKON TERRITORY,2100805,26894,71044.0,ZOC,67.57,-139.84,673414000,-1395021000,251.2,1994,2024,1994.0,2024.0,1995.0,2024.0,2006.0,2007.0,31.0
ROCK RIVER,YUKON TERRITORY,2100935,8979,71506.0,WRR,66.98,-136.22,665852000,-1361305000,731.0,1994,2024,1994.0,2024.0,1995.0,2024.0,,,31.0
SHINGLE POINT A,YUKON TERRITORY,2100950,1596,71968.0,YUA,68.95,-137.22,685700000,-1371300000,49.4,1957,2023,1973.0,2023.0,1957.0,2023.0,1957.0,1993.0,51.0
DAWSON,YUKON TERRITORY,2100LRP,10194,71966.0,WON,64.06,-139.13,640339076,-1390736000,370.0,1995,2024,1995.0,2024.0,1995.0,2024.0,1999.0,2007.0,30.0
TESLIN A,YUKON TERRITORY,2101100,1610,,YZW,60.17,-132.74,601026900,-1324409200,705.0,1943,2014,1953.0,2014.0,1943.0,2014.0,1943.0,2006.0,62.0
TESLIN (AUT),YUKON TERRITORY,2101102,8985,71045.0,WZW,60.17,-132.73,601000000,-1324400000,705.0,1992,2024,1994.0,2024.0,1992.0,2024.0,2001.0,2007.0,31.0
WATSON LAKE A,YUKON TERRITORY,2101200,1615,71953.0,YQH,60.12,-128.82,600659400,-1284920400,687.35,1938,2014,1953.0,2014.0,1938.0,2014.0,1938.0,2014.0,62.0
WHITEHORSE A,YUKON TERRITORY,2101300,1617,71964.0,YXY,60.71,-135.07,604234200,-1350407800,706.2,1942,2012,1953.0,2012.0,1942.0,2012.0,1942.0,2007.0,60.0
AKLAVIK A,NORTHWEST TERRITORIES,2200100,1623,,YKD,68.22,-135.01,681324000,-1350021000,6.4,1926,2014,1953.0,2014.0,1926.0,2014.0,1926.0,2007.0,62.0
CAPE PARRY A,NORTHWEST TERRITORIES,2200675,1633,71948.0,ZCP,70.17,-124.72,701000000,-1244300000,86.6,1956,2023,1956.0,2023.0,1957.0,2023.0,1957.0,2007.0,68.0
COLVILLE LAKE,NORTHWEST TERRITORIES,2200824,10867,71055.0,WFX,67.02,-126.12,670117040,-1260723070,271.0,1994,2024,1994.0,2024.0,1995.0,2024.0,2004.0,2006.0,31.0
FORT GOOD HOPE A,NORTHWEST TERRITORIES,2201400,1644,,YGH,66.24,-128.65,661427000,-1283903000,81.38,1944,2015,1965.0,2015.0,1944.0,2015.0,1944.0,2007.0,51.0
FORT LIARD A,NORTHWEST TERRITORIES,2201575,1646,,YJF,60.24,-123.47,601406000,-1232801000,215.8,1973,2014,1973.0,2014.0,1973.0,2014.0,1973.0,2007.0,42.0
FORT LIARD,NORTHWEST TERRITORIES,2201579,10687,71497.0,WJL,60.23,-123.47,601400000,-1232800000,213.4,1994,2024,1994.0,2024.0,1996.0,2024.0,1996.0,2007.0,31.0
FORT PROVIDENCE,NORTHWEST TERRITORIES,2201799,10902,71087.0,WID,61.32,-117.6,611901000,-1173607000,161.5,1994,2024,1994.0,2024.0,1994.0,2024.0,2006.0,2007.0,31.0
FORT RELIANCE (AUT),NORTHWEST TERRITORIES,2201903,8935,71160.0,WFZ,62.71,-109.17,624241000,-1091006000,167.6,1994,2024,1994.0,2024.0,1994.0,2024.0,1996.0,2007.0,31.0
FORT RESOLUTION A,NORTHWEST TERRITORIES,2202000,1654,,YFR,61.18,-113.69,611051000,-1134123000,160.3,1930,2014,1954.0,2014.0,1930.0,2014.0,1930.0,2007.0,61.0
FORT SIMPSON A,NORTHWEST TERRITORIES,2202101,1656,71946.0,YFS,61.76,-121.24,614537000,-1211412000,169.2,1963,2014,1963.0,2014.0,1963.0,2014.0,1963.0,2010.0,52.0
FORT SMITH A,NORTHWEST TERRITORIES,2202200,1660,71934.0,YSM,60.02,-111.96,600113000,-1115743000,205.13,1943,2014,1953.0,2014.0,1943.0,2014.0,1943.0,2014.0,62.0
HANBURY RIVER,NORTHWEST TERRITORIES,2202351,10897,71963.0,WQY,63.6,-105.13,633600000,-1050800000,317.4,1994,2024,1994.0,2024.0,1994.0,2024.0,1998.0,2007.0,31.0
HAY RIVER A,NORTHWEST TERRITORIES,2202400,1664,71935.0,YHY,60.84,-115.78,605023000,-1154658000,164.9,1943,2014,1953.0,2014.0,1943.0,2014.0,1943.0,2014.0,62.0
INNER WHALEBACKS,NORTHWEST TERRITORIES,2202560,10209,71162.0,WBJ,61.92,-113.73,615513030,-1134335040,165.2,1994,2024,1994.0,2024.0,1994.0,2024.0,1998.0,2007.0,31.0
INUVIK A,NORTHWEST TERRITORIES,2202570,1669,,YEV,68.3,-133.48,681815000,-1332858000,67.7,1957,2013,1958.0,2013.0,1957.0,2006.0,1957.0,2006.0,56.0
WHATI,NORTHWEST TERRITORIES,2202678,1674,71163.0,WMT,63.13,-117.24,630801070,-1171441050,271.3,1974,2024,1994.0,2024.0,1974.0,2024.0,1974.0,2007.0,31.0
NORMAN WELLS A,NORTHWEST TERRITORIES,2202800,1680,,,65.28,-126.8,651657000,-1264801000,72.54,1943,2012,1953.0,2012.0,1943.0,2012.0,1943.0,2012.0,60.0
PAULATUK,NORTHWEST TERRITORIES,2203058,26986,71984.0,ZPK,69.36,-124.08,692128004,-1240457005,6.3,1994,2024,1994.0,2024.0,1994.0,2024.0,2000.0,2007.0,31.0
PELLY ISLAND,NORTHWEST TERRITORIES,2203095,10091,71502.0,WND,69.63,-135.44,693757000,-1352638000,17.0,1993,2024,1994.0,2024.0,1993.0,2024.0,2006.0,2006.0,31.0
RABBIT KETTLE,NORTHWEST TERRITORIES,2203342,26895,71980.0,WQF,61.96,-127.21,615747000,-1271233000,618.0,1995,2024,1995.0,2024.0,1995.0,2024.0,1998.0,2007.0,30.0
GAMETI,NORTHWEST TERRITORIES,2203359,10926,71165.0,WYH,64.11,-117.33,640642078,-1171940086,221.0,1994,2024,1994.0,2024.0,1994.0,2024.0,2005.0,2006.0,31.0
TUKTOYAKTUK A,NORTHWEST TERRITORIES,2203912,1700,,YUB,69.43,-133.03,692600000,-1330135000,4.27,1970,2015,1970.0,2015.0,1970.0,2015.0,1970.0,2007.0,46.0
TUKTOYAKTUK,NORTHWEST TERRITORIES,2203914,26987,71985.0,ZUB,69.43,-133.02,692600000,-1330100000,4.6,1994,2024,1994.0,2024.0,1995.0,2024.0,1999.0,2006.0,31.0
WRIGLEY A,NORTHWEST TERRITORIES,2204000,1705,,YWY,63.21,-123.44,631234000,-1232612000,149.7,1943,2015,1957.0,2015.0,1943.0,2015.0,1943.0,2007.0,59.0
YELLOWKNIFE A,NORTHWEST TERRITORIES,2204100,1706,71936.0,YZF,62.46,-114.44,622746000,-1142625000,205.7,1942,2013,1953.0,2013.0,1942.0,2013.0,1942.0,2007.0,61.0
YOHIN,NORTHWEST TERRITORIES,2204300,1635,71020.0,XYH,61.24,-123.74,611431000,-1234430000,204.0,1957,2024,1973.0,2024.0,1957.0,2024.0,1957.0,2007.0,52.0
LIVERPOOL BAY,NORTHWEST TERRITORIES,220B68C,10823,71960.0,WLI,69.6,-130.91,693615000,-1305438000,101.9,1992,2023,1994.0,2023.0,1992.0,2023.0,2005.0,2007.0,30.0
